timestamp,Active UEs
2025-03-27 20:45:15,0
2025-03-27 20:45:25,1
2025-03-27 20:45:35,2
2025-03-27 20:45:45,3
2025-03-27 20:45:55,4
2025-03-27 20:46:05,5
2025-03-27 20:46:15,6
2025-03-27 20:46:25,7
2025-03-27 20:46:35,8
2025-03-27 20:46:45,9
2025-03-27 20:46:55,10
