timestamp,log_level,component,message,log_file
2025-03-17 17:12:01.657,INFO,app,SGW-C initialize...done (../src/sgwc/app.c:31),sgwc.log
2025-03-17 17:12:01.912,INFO,sgwc,PFCP associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:183),sgwc.log
2025-03-17 17:12:04.158,WARNING,sgwc,PFCP[RSP] has already been associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:284),sgwc.log
2025-03-17 20:41:52.402,INFO,app,Configuration: '/open5gs/install/etc/open5gs/sgwc.yaml' (../lib/app/ogs-init.c:144),sgwc.log
2025-03-17 20:41:52.402,INFO,app,File Logging: '/open5gs/install/var/log/open5gs/sgwc.log' (../lib/app/ogs-init.c:147),sgwc.log
2025-03-17 20:41:52.444,INFO,gtp,gtp_server() [172.22.0.5]:2123 (../lib/gtp/path.c:30),sgwc.log
2025-03-17 20:41:52.444,INFO,pfcp,pfcp_server() [172.22.0.5]:8805 (../lib/pfcp/path.c:30),sgwc.log
2025-03-17 20:41:52.445,INFO,pfcp,ogs_pfcp_connect() [172.22.0.6]:8805 (../lib/pfcp/path.c:61),sgwc.log
2025-03-17 20:41:52.446,INFO,app,SGW-C initialize...done (../src/sgwc/app.c:31),sgwc.log
2025-03-17 20:41:52.446,INFO,sgwc,PFCP associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:183),sgwc.log
2025-03-17 20:41:54.792,WARNING,sgwc,PFCP[REQ] has already been associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:277),sgwc.log
2025-03-18 10:50:51.823,INFO,app,Configuration: '/open5gs/install/etc/open5gs/sgwc.yaml' (../lib/app/ogs-init.c:144),sgwc.log
2025-03-18 10:50:51.823,INFO,app,File Logging: '/open5gs/install/var/log/open5gs/sgwc.log' (../lib/app/ogs-init.c:147),sgwc.log
2025-03-18 10:50:51.854,INFO,gtp,gtp_server() [172.22.0.5]:2123 (../lib/gtp/path.c:30),sgwc.log
2025-03-18 10:50:51.855,INFO,pfcp,pfcp_server() [172.22.0.5]:8805 (../lib/pfcp/path.c:30),sgwc.log
2025-03-18 10:50:51.855,INFO,pfcp,ogs_pfcp_connect() [172.22.0.6]:8805 (../lib/pfcp/path.c:61),sgwc.log
2025-03-18 10:50:51.856,INFO,app,SGW-C initialize...done (../src/sgwc/app.c:31),sgwc.log
2025-03-18 10:50:51.856,INFO,sgwc,PFCP associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:183),sgwc.log
2025-03-18 10:50:54.270,WARNING,sgwc,PFCP[REQ] has already been associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:277),sgwc.log
