metric,values,metric_name
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'idle', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '92.944948'], [1742291640, '93.093194'], [1742291700, '93.203774'], [1742291760, '92.484446'], [1742291820, '92.646316'], [1742291880, '93.04417'], [1742291940, '93.119736'], [1742292000, '93.221104'], [1742292060, '93.09576'], [1742292120, '92.869408'], [1742292180, '92.64004'], [1742292240, '92.745318'], [1742292300, '92.348758'], [1742292360, '92.343932'], [1742292420, '92.775826'], [1742292480, '92.994948'], [1742292540, '92.965648'], [1742292600, '92.283366'], [1742292660, '92.776966'], [1742292720, '92.880544'], [1742292780, '92.630204'], [1742292840, '92.582844'], [1742292900, '92.45469'], [1742292960, '93.905636'], [1742293020, '93.905636'], [1742293080, '93.905636'], [1742293140, '92.505878'], [1742293200, '92.505878'], [1742293260, '92.505878'], [1742293320, '93.875134'], [1742293380, '93.875134'], [1742293440, '93.875134'], [1742293500, '93.875134'], [1742293560, '93.875134'], [1742293680, '93.449914'], [1742293740, '93.724894'], [1742293800, '93.656308'], [1742293860, '93.412554'], [1742293920, '93.316906'], [1742293980, '94.056426'], [1742294040, '94.056426'], [1742294100, '94.056426'], [1742294160, '94.056426'], [1742294220, '94.056426']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'iowait', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0.0761744'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0.025413'], [1742291820, '0'], [1742291880, '0.0253807'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0.025413'], [1742292120, '0.0253807'], [1742292180, '0.0256739'], [1742292240, '0.025413'], [1742292300, '0'], [1742292360, '0.0255428'], [1742292420, '0.0252845'], [1742292480, '0.0255102'], [1742292540, '0.0254777'], [1742292600, '0'], [1742292660, '0.0254777'], [1742292720, '0.0255102'], [1742292780, '0'], [1742292840, '0.0252525'], [1742292900, '0.025413'], [1742292960, '0.0253165'], [1742293020, '0.0253165'], [1742293080, '0.0253165'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0.0253485'], [1742293380, '0.0253485'], [1742293440, '0.0253485'], [1742293500, '0.0253485'], [1742293560, '0.0253485'], [1742293680, '0.0254453'], [1742293740, '0.0252845'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0.0253807'], [1742294040, '0.0253807'], [1742294100, '0.0253807'], [1742294160, '0.0253807'], [1742294220, '0.0253807']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'irq', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'nice', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'softirq', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '1.5986682'], [1742291640, '1.8535256'], [1742291700, '1.8510682'], [1742291760, '1.9548704'], [1742291820, '1.8765083'], [1742291880, '1.9547753'], [1742291940, '1.7770605'], [1742292000, '1.7262165'], [1742292060, '1.7518597'], [1742292120, '1.8267578'], [1742292180, '1.7059095'], [1742292240, '2.0291502'], [1742292300, '2.0583959'], [1742292360, '1.8823879'], [1742292420, '1.8250066'], [1742292480, '1.7511901'], [1742292540, '1.752147'], [1742292600, '1.9343035'], [1742292660, '1.8056043'], [1742292720, '1.7801133'], [1742292780, '1.8547343'], [1742292840, '1.9044786'], [1742292900, '1.8227788'], [1742292960, '1.46654'], [1742293020, '1.46654'], [1742293080, '1.46654'], [1742293140, '1.9494263'], [1742293200, '1.9494263'], [1742293260, '1.9494263'], [1742293320, '1.5691752'], [1742293380, '1.5691752'], [1742293440, '1.5691752'], [1742293500, '1.5691752'], [1742293560, '1.5691752'], [1742293680, '1.6754645'], [1742293740, '1.4986554'], [1742293800, '1.5225998'], [1742293860, '1.8241413'], [1742293920, '1.6260505'], [1742293980, '1.47334'], [1742294040, '1.47334'], [1742294100, '1.47334'], [1742294160, '1.47334'], [1742294220, '1.47334']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'steal', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'system', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '1.5479707'], [1742291640, '1.4731336'], [1742291700, '1.4956392'], [1742291760, '1.4978225'], [1742291820, '1.4705108'], [1742291880, '1.5229787'], [1742291940, '1.4211452'], [1742292000, '1.5487766'], [1742292060, '1.497407'], [1742292120, '1.4970327'], [1742292180, '1.5522912'], [1742292240, '1.4456471'], [1742292300, '1.4744058'], [1742292360, '1.602191'], [1742292420, '1.5971894'], [1742292480, '1.471548'], [1742292540, '1.4979508'], [1742292600, '1.6039647'], [1742292660, '1.5509877'], [1742292720, '1.6009602'], [1742292780, '1.6009583'], [1742292840, '1.6517975'], [1742292900, '1.5697068'], [1742292960, '1.3397969'], [1742293020, '1.3397969'], [1742293080, '1.3397969'], [1742293140, '1.5935049'], [1742293200, '1.5935049'], [1742293260, '1.5935049'], [1742293320, '1.3666432'], [1742293380, '1.3666432'], [1742293440, '1.3666432'], [1742293500, '1.3666432'], [1742293560, '1.3666432'], [1742293680, '1.3207099'], [1742293740, '1.3970641'], [1742293800, '1.3953411'], [1742293860, '1.317457'], [1742293920, '1.3211892'], [1742293980, '1.3462428'], [1742294040, '1.3462428'], [1742294100, '1.3462428'], [1742294160, '1.3462428'], [1742294220, '1.3462428']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'user', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '3.8322406'], [1742291640, '3.5801472'], [1742291700, '3.4495172'], [1742291760, '4.037448'], [1742291820, '4.0066652'], [1742291880, '3.4526946'], [1742291940, '3.6820574'], [1742292000, '3.503904'], [1742292060, '3.6295602'], [1742292120, '3.781422'], [1742292180, '4.076084'], [1742292240, '3.7544708'], [1742292300, '4.1184406'], [1742292360, '4.1459456'], [1742292420, '3.7766918'], [1742292480, '3.7568054'], [1742292540, '3.7587784'], [1742292600, '4.1783666'], [1742292660, '3.840965'], [1742292720, '3.7128708'], [1742292780, '3.914104'], [1742292840, '3.8356266'], [1742292900, '4.12741'], [1742292960, '3.2627078'], [1742293020, '3.2627078'], [1742293080, '3.2627078'], [1742293140, '3.9511906'], [1742293200, '3.9511906'], [1742293260, '3.9511906'], [1742293320, '3.163699'], [1742293380, '3.163699'], [1742293440, '3.163699'], [1742293500, '3.163699'], [1742293560, '3.163699'], [1742293680, '3.5284656'], [1742293740, '3.354099'], [1742293800, '3.4257522'], [1742293860, '3.4458464'], [1742293920, '3.7358538'], [1742293980, '3.098609'], [1742294040, '3.098609'], [1742294100, '3.098609'], [1742294160, '3.098609'], [1742294220, '3.098609']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_ram_MiB_average', 'chart': 'system.ram', 'dimension': 'buffers', 'family': 'ram', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '149.571094'], [1742291640, '151.65234'], [1742291700, '151.87891'], [1742291760, '152.5625'], [1742291820, '152.77734'], [1742291880, '153.02344'], [1742291940, '153.19531'], [1742292000, '153.4375'], [1742292060, '153.67578'], [1742292120, '154.02734'], [1742292180, '154.360156'], [1742292240, '154.633594'], [1742292300, '154.85938'], [1742292360, '155.16406'], [1742292420, '155.39844'], [1742292480, '155.673438'], [1742292540, '155.86719'], [1742292600, '156.10938'], [1742292660, '156.35156'], [1742292720, '156.57812'], [1742292780, '156.8125'], [1742292840, '157.03594'], [1742292900, '157.3125'], [1742292960, '157.432814'], [1742293020, '157.432814'], [1742293080, '157.432814'], [1742293140, '157.6875'], [1742293200, '157.6875'], [1742293260, '157.6875'], [1742293320, '157.926566'], [1742293380, '157.926566'], [1742293440, '157.926566'], [1742293500, '157.926566'], [1742293560, '157.926566'], [1742293680, '158.243752'], [1742293740, '158.449998'], [1742293800, '158.66875'], [1742293860, '158.924218'], [1742293920, '159.139844'], [1742293980, '159.374218'], [1742294040, '159.374218'], [1742294100, '159.374218'], [1742294160, '159.374218'], [1742294220, '159.374218']]",netdata_system_ram_MiB_average
"{'__name__': 'netdata_system_ram_MiB_average', 'chart': 'system.ram', 'dimension': 'cached', 'family': 'ram', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '1727.2298'], [1742291640, '1747.7174'], [1742291700, '1748.7144'], [1742291760, '1761.728'], [1742291820, '1762.3774'], [1742291880, '1763.9322'], [1742291940, '1764.4372'], [1742292000, '1764.8758'], [1742292060, '1765.348'], [1742292120, '1765.8004'], [1742292180, '1766.3522'], [1742292240, '1767.1688'], [1742292300, '1768.0422'], [1742292360, '1768.6892'], [1742292420, '1769.232'], [1742292480, '1769.7256'], [1742292540, '1770.0944'], [1742292600, '1770.4944'], [1742292660, '1770.918'], [1742292720, '1771.324'], [1742292780, '1771.7142'], [1742292840, '1772.0804'], [1742292900, '1772.7142'], [1742292960, '1772.9236'], [1742293020, '1772.9236'], [1742293080, '1772.9236'], [1742293140, '1773.401'], [1742293200, '1773.401'], [1742293260, '1773.401'], [1742293320, '1775.3054'], [1742293380, '1775.3054'], [1742293440, '1775.3054'], [1742293500, '1775.3054'], [1742293560, '1775.3054'], [1742293680, '1775.747'], [1742293740, '1776.1136'], [1742293800, '1776.5574'], [1742293860, '1776.9622'], [1742293920, '1777.3628'], [1742293980, '1777.7648'], [1742294040, '1777.7648'], [1742294100, '1777.7648'], [1742294160, '1777.7648'], [1742294220, '1777.7648']]",netdata_system_ram_MiB_average
"{'__name__': 'netdata_system_ram_MiB_average', 'chart': 'system.ram', 'dimension': 'free', 'family': 'ram', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '3521.6632'], [1742291640, '3225.468'], [1742291700, '3290.3882'], [1742291760, '3282.7274'], [1742291820, '3277.8508'], [1742291880, '3262.7034'], [1742291940, '3229.0502'], [1742292000, '3226.2094'], [1742292060, '3215.1586'], [1742292120, '3177.9524'], [1742292180, '3168.7624'], [1742292240, '3165.2272'], [1742292300, '3161.51'], [1742292360, '3183.7234'], [1742292420, '3180.7482'], [1742292480, '3158.4978'], [1742292540, '3167.1866'], [1742292600, '3146.1242'], [1742292660, '3147.8976'], [1742292720, '3109.7454'], [1742292780, '3098.835'], [1742292840, '3156.1852'], [1742292900, '3086.5908'], [1742292960, '3114.9804'], [1742293020, '3114.9804'], [1742293080, '3114.9804'], [1742293140, '3138.4538'], [1742293200, '3138.4538'], [1742293260, '3138.4538'], [1742293320, '3114.318'], [1742293380, '3114.318'], [1742293440, '3114.318'], [1742293500, '3114.318'], [1742293560, '3114.318'], [1742293680, '3069.3134'], [1742293740, '3093.7518'], [1742293800, '3077.2'], [1742293860, '3072.407'], [1742293920, '3086.746'], [1742293980, '3088.0234'], [1742294040, '3088.0234'], [1742294100, '3088.0234'], [1742294160, '3088.0234'], [1742294220, '3088.0234']]",netdata_system_ram_MiB_average
"{'__name__': 'netdata_system_ram_MiB_average', 'chart': 'system.ram', 'dimension': 'used', 'family': 'ram', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '2439.1338'], [1742291640, '2712.7602'], [1742291700, '2646.6164'], [1742291760, '2640.5796'], [1742291820, '2644.592'], [1742291880, '2657.939'], [1742291940, '2690.9156'], [1742292000, '2693.075'], [1742292060, '2703.4156'], [1742292120, '2739.8172'], [1742292180, '2748.1226'], [1742292240, '2750.568'], [1742292300, '2753.1858'], [1742292360, '2730.021'], [1742292420, '2732.2188'], [1742292480, '2753.7008'], [1742292540, '2744.449'], [1742292600, '2764.8694'], [1742292660, '2762.4304'], [1742292720, '2799.95'], [1742292780, '2810.236'], [1742292840, '2752.2962'], [1742292900, '2820.9806'], [1742292960, '2792.261'], [1742293020, '2792.261'], [1742293080, '2792.261'], [1742293140, '2768.0552'], [1742293200, '2768.0552'], [1742293260, '2768.0552'], [1742293320, '2790.0478'], [1742293380, '2790.0478'], [1742293440, '2790.0478'], [1742293500, '2790.0478'], [1742293560, '2790.0478'], [1742293680, '2834.2934'], [1742293740, '2809.2828'], [1742293800, '2825.1718'], [1742293860, '2829.304'], [1742293920, '2814.3492'], [1742293980, '2812.435'], [1742294040, '2812.435'], [1742294100, '2812.435'], [1742294160, '2812.435'], [1742294220, '2812.435']]",netdata_system_ram_MiB_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd0', 'device': 'nbd0', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
