metric,values,metric_name
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd3', 'device': 'nbd3', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd3', 'device': 'nbd3', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd4', 'device': 'nbd4', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd4', 'device': 'nbd4', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd5', 'device': 'nbd5', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd5', 'device': 'nbd5', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd6', 'device': 'nbd6', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd6', 'device': 'nbd6', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd7', 'device': 'nbd7', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd7', 'device': 'nbd7', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd8', 'device': 'nbd8', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd8', 'device': 'nbd8', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd9', 'device': 'nbd9', 'device_type': 'virtual', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.nbd9', 'device': 'nbd9', 'device_type': 'virtual', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.vda', 'device': 'vda', 'device_type': 'physical', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '25.3969389'], [1742291640, '0.2800252'], [1742291700, '0'], [1742291760, '11.1999998'], [1742291820, '21.6'], [1742291880, '14.3999998'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0.8435526'], [1742292120, '0'], [1742292180, '0'], [1742292240, '5.6000004'], [1742292300, '0'], [1742292360, '2.671178'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.vda', 'device': 'vda', 'device_type': 'physical', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '-1016.733075'], [1742291640, '-118.356526'], [1742291700, '-68.940188'], [1742291760, '-99.940362'], [1742291820, '-79.340638'], [1742291880, '-80.140298'], [1742291940, '-71.340596'], [1742292000, '-92.140054'], [1742292060, '-88.077166'], [1742292120, '-66.50678'], [1742292180, '-194.961624'], [1742292240, '-124.9403398'], [1742292300, '-78.540306'], [1742292360, '-92.9405848'], [1742292420, '-88.9403006'], [1742292480, '-175.569138'], [1742292540, '-59.157442'], [1742292600, '-67.178804'], [1742292660, '-124.355122'], [1742292720, '-78.7198138'], [1742292780, '-62.6399248'], [1742292840, '-157.6419654'], [1742292900, '-63.340208'], [1742292960, '-23.2606755'], [1742293020, '-23.2606755'], [1742293080, '-23.2606755'], [1742293140, '-7.9847829'], [1742293200, '-7.9847829'], [1742293260, '-7.9847829'], [1742293320, '-32.799999'], [1742293380, '-32.799999'], [1742293440, '-32.799999'], [1742293500, '-32.799999'], [1742293560, '-32.799999'], [1742293680, '-31.657954'], [1742293740, '-22.598088'], [1742293800, '-29.937184'], [1742293860, '-36.6596028'], [1742293920, '-5.4595458'], [1742293980, '-29.279796'], [1742294040, '-29.279796'], [1742294100, '-29.279796'], [1742294160, '-29.279796'], [1742294220, '-29.279796']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.vdb', 'device': 'vdb', 'device_type': 'physical', 'dimension': 'reads', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_disk_io_KiB_persec_average', 'chart': 'disk.vdb', 'device': 'vdb', 'device_type': 'physical', 'dimension': 'writes', 'family': 'io', 'id': '[none]', 'instance': 'host.docker.internal:19999', 'job': 'netdata', 'model': '[none]', 'mount_point': '[none]', 'serial': '[none]'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_disk_io_KiB_persec_average
"{'__name__': 'netdata_net_net_kilobits_persec_average', 'chart': 'net.bond0', 'device': 'bond0', 'dimension': 'received', 'family': 'bond0', 'instance': 'host.docker.internal:19999', 'interface_type': 'virtual', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_net_net_kilobits_persec_average
"{'__name__': 'netdata_net_net_kilobits_persec_average', 'chart': 'net.bond0', 'device': 'bond0', 'dimension': 'sent', 'family': 'bond0', 'instance': 'host.docker.internal:19999', 'interface_type': 'virtual', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_net_net_kilobits_persec_average
"{'__name__': 'netdata_net_net_kilobits_persec_average', 'chart': 'net.br-02c136a167f8', 'device': 'br-02c136a167f8', 'dimension': 'received', 'family': 'br-02c136a167f8', 'instance': 'host.docker.internal:19999', 'interface_type': 'virtual', 'job': 'netdata'}","[[1742291580, '122.497598'], [1742291640, '120.4425412'], [1742291700, '120.6807846'], [1742291760, '120.0731419'], [1742291820, '121.3939467'], [1742291880, '120.3761969'], [1742291940, '120.9933739'], [1742292000, '167.8572873'], [1742292060, '122.7888398'], [1742292120, '123.9221083'], [1742292180, '131.7995295'], [1742292240, '262.239124'], [1742292300, '204.0825833'], [1742292360, '173.9149497'], [1742292420, '121.8295804'], [1742292480, '121.8037962'], [1742292540, '120.796102'], [1742292600, '120.9987876'], [1742292660, '122.7693404'], [1742292720, '121.4004379'], [1742292780, '121.9223101'], [1742292840, '121.6584556'], [1742292900, '120.2607713'], [1742292960, '121.9133166'], [1742293020, '121.9133166'], [1742293080, '121.9133166'], [1742293140, '120.8559976'], [1742293200, '120.8559976'], [1742293260, '120.8559976'], [1742293320, '450.0455'], [1742293380, '450.0455'], [1742293440, '450.0455'], [1742293500, '450.0455'], [1742293560, '450.0455'], [1742293680, '119.6229065'], [1742293740, '119.7523846'], [1742293800, '120.0548767'], [1742293860, '120.5439041'], [1742293920, '119.9251343'], [1742293980, '120.4526613'], [1742294040, '120.4526613'], [1742294100, '120.4526613'], [1742294160, '120.4526613'], [1742294220, '120.4526613']]",netdata_net_net_kilobits_persec_average
"{'__name__': 'netdata_net_net_kilobits_persec_average', 'chart': 'net.br-02c136a167f8', 'device': 'br-02c136a167f8', 'dimension': 'sent', 'family': 'br-02c136a167f8', 'instance': 'host.docker.internal:19999', 'interface_type': 'virtual', 'job': 'netdata'}","[[1742291580, '-131.93353'], [1742291640, '-124.7646057'], [1742291700, '-138.4667359'], [1742291760, '-123.8502112'], [1742291820, '-139.7055735'], [1742291880, '-125.4248121'], [1742291940, '-124.8180806'], [1742292000, '-125.8334238'], [1742292060, '-141.6538956'], [1742292120, '-128.7904417'], [1742292180, '-127.8765729'], [1742292240, '-189.942202'], [1742292300, '-171.1558423'], [1742292360, '-156.1356578'], [1742292420, '-127.9990329'], [1742292480, '-124.8049996'], [1742292540, '-124.5976895'], [1742292600, '-125.3436938'], [1742292660, '-129.253366'], [1742292720, '-138.0429861'], [1742292780, '-126.4644742'], [1742292840, '-125.3640202'], [1742292900, '-125.3033922'], [1742292960, '-129.412463'], [1742293020, '-129.412463'], [1742293080, '-129.412463'], [1742293140, '-125.6143956'], [1742293200, '-125.6143956'], [1742293260, '-125.6143956'], [1742293320, '-152.5320574'], [1742293380, '-152.5320574'], [1742293440, '-152.5320574'], [1742293500, '-152.5320574'], [1742293560, '-152.5320574'], [1742293680, '-124.455814'], [1742293740, '-125.2446747'], [1742293800, '-126.3259819'], [1742293860, '-136.9267317'], [1742293920, '-125.5230029'], [1742293980, '-125.9214588'], [1742294040, '-125.9214588'], [1742294100, '-125.9214588'], [1742294160, '-125.9214588'], [1742294220, '-125.9214588']]",netdata_net_net_kilobits_persec_average
