timestamp,application,log_level,log_message
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[440869b0-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.829073+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[44088198-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.829599+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[44089110-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.830035+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[4408b51e-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.831208+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[44093854-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.836096+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
